bin_id,TomraElongBins,EQBins,EQCutsLow,EQCutsHigh,ElongBreaksLow,ElongBreaksHigh,SKU,SKU2,SKU3,SKU4,SKU_label
1,0,US,30,52.5,0.22402443085383467,0.7555307511160994, , , , ," 
 
 
 "
2,1,US,30,52.5,0.7555307511160994,0.8543460106578162, , , , ," 
 
 
 "
3,2,US,30,52.5,0.8543460106578162,0.8678208187771412, , , , ," 
 
 
 "
4,3,US,30,52.5,0.8678208187771412,0.879798425994319, , , , ," 
 
 
 "
5,4,US,30,52.5,0.879798425994319,0.893273234113644, , , , ," 
 
 
 "
6,5,US,30,52.5,0.893273234113644,0.9052508413308218, , , , ," 
 
 
 "
7,6,US,30,52.5,0.9052508413308218,0.9172284485479996, , , , ," 
 
 
 "
8,7,US,30,52.5,0.9172284485479996,0.9322004575694718, , , , ," 
 
 
 "
9,8,US,30,52.5,0.9322004575694718,0.947172466590944, , , , ," 
 
 
 "
10,9,US,30,52.5,0.947172466590944,0.9741220828295942, , , , ," 
 
 
 "
11,10,US,30,52.5,0.9741220828295942,1.092400954099225, , , , ," 
 
 
 "
12,11,US,30,52.5,1.092400954099225,1.7212253330010592, , , , ," 
 
 
 "
13,0,58,52.5,54.4,0.22402443085383467,0.7555307511160994, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
14,1,58,52.5,54.4,0.7555307511160994,0.8543460106578162, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
15,2,58,52.5,54.4,0.8543460106578162,0.8678208187771412, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
16,3,58,52.5,54.4,0.8678208187771412,0.879798425994319, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
17,4,58,52.5,54.4,0.879798425994319,0.893273234113644, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
18,5,58,52.5,54.4,0.893273234113644,0.9052508413308218, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
19,6,58,52.5,54.4,0.9052508413308218,0.9172284485479996, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
20,7,58,52.5,54.4,0.9172284485479996,0.9322004575694718, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
21,8,58,52.5,54.4,0.9322004575694718,0.947172466590944, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
22,9,58,52.5,54.4,0.947172466590944,0.9741220828295942, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
23,10,58,52.5,54.4,0.9741220828295942,1.092400954099225, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
24,11,58,52.5,54.4,1.092400954099225,1.7212253330010592, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
25,0,63 S,54.4,56.1,0.22402443085383467,0.7555307511160994, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
26,1,63 S,54.4,56.1,0.7555307511160994,0.8543460106578162, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
27,2,63 S,54.4,56.1,0.8543460106578162,0.8678208187771412, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
28,3,63 S,54.4,56.1,0.8678208187771412,0.879798425994319, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
29,4,63 S,54.4,56.1,0.879798425994319,0.893273234113644,Daily small,SFP,63/5N,MB SNS,"Daily small
SFP
63/5N
MB SNS"
30,5,63 S,54.4,56.1,0.893273234113644,0.9052508413308218,Daily small, , , ,"Daily small
 
 
 "
31,6,63 S,54.4,56.1,0.9052508413308218,0.9172284485479996,Daily small, , , ,"Daily small
 
 
 "
32,7,63 S,54.4,56.1,0.9172284485479996,0.9322004575694718,Daily small, , , ,"Daily small
 
 
 "
33,8,63 S,54.4,56.1,0.9322004575694718,0.947172466590944,Daily small, , , ,"Daily small
 
 
 "
34,9,63 S,54.4,56.1,0.947172466590944,0.9741220828295942,Daily small,SFP, ,MB SNS,"Daily small
SFP
 
MB SNS"
35,10,63 S,54.4,56.1,0.9741220828295942,1.092400954099225, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
36,11,63 S,54.4,56.1,1.092400954099225,1.7212253330010592, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
37,0,63 M,56.1,59,0.22402443085383467,0.7555307511160994, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
38,1,63 M,56.1,59,0.7555307511160994,0.8543460106578162, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
39,2,63 M,56.1,59,0.8543460106578162,0.8678208187771412, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
40,3,63 M,56.1,59,0.8678208187771412,0.879798425994319,Daily small,SFP,63/5N,MB SNS,"Daily small
SFP
63/5N
MB SNS"
41,4,63 M,56.1,59,0.879798425994319,0.893273234113644,Daily small, , , ,"Daily small
 
 
 "
42,5,63 M,56.1,59,0.893273234113644,0.9052508413308218,Daily small, , , ,"Daily small
 
 
 "
43,6,63 M,56.1,59,0.9052508413308218,0.9172284485479996,Daily small, , , ,"Daily small
 
 
 "
44,7,63 M,56.1,59,0.9172284485479996,0.9322004575694718,Daily small, , , ,"Daily small
 
 
 "
45,8,63 M,56.1,59,0.9322004575694718,0.947172466590944,Daily small, , , ,"Daily small
 
 
 "
46,9,63 M,56.1,59,0.947172466590944,0.9741220828295942,Daily small,SFP, ,MB SNS,"Daily small
SFP
 
MB SNS"
47,10,63 M,56.1,59,0.9741220828295942,1.092400954099225, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
48,11,63 M,56.1,59,1.092400954099225,1.7212253330010592, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
49,0,63 L,59,61.5,0.22402443085383467,0.7555307511160994, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
50,1,63 L,59,61.5,0.7555307511160994,0.8543460106578162, ,SFP,63/5N,MB SNS," 
SFP
63/5N
MB SNS"
51,2,63 L,59,61.5,0.8543460106578162,0.8678208187771412,Daily small,SFP,63/5N,MB SNS,"Daily small
SFP
63/5N
MB SNS"
52,3,63 L,59,61.5,0.8678208187771412,0.879798425994319,Daily small, , , ,"Daily small
 
 
 "
53,4,63 L,59,61.5,0.879798425994319,0.893273234113644,Daily small, , , ,"Daily small
 
 
 "
54,5,63 L,59,61.5,0.893273234113644,0.9052508413308218,Daily small, , , ,"Daily small
 
 
 "
55,6,63 L,59,61.5,0.9052508413308218,0.9172284485479996,Daily small, , , ,"Daily small
 
 
 "
56,7,63 L,59,61.5,0.9172284485479996,0.9322004575694718,Daily small, , , ,"Daily small
 
 
 "
57,8,63 L,59,61.5,0.9322004575694718,0.947172466590944,Daily small, , , ,"Daily small
 
 
 "
58,9,63 L,59,61.5,0.947172466590944,0.9741220828295942,Daily small,SFP, ,MB SNS,"Daily small
SFP
 
MB SNS"
59,10,63 L,59,61.5,0.9741220828295942,1.092400954099225, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
60,11,63 L,59,61.5,1.092400954099225,1.7212253330010592, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
61,0,2PC,61.5,62.5,0.22402443085383467,0.7555307511160994, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
62,1,2PC,61.5,62.5,0.7555307511160994,0.8543460106578162,Daily small,SFP,63/5N,MB SNS,"Daily small
SFP
63/5N
MB SNS"
63,2,2PC,61.5,62.5,0.8543460106578162,0.8678208187771412,Daily small, , , ,"Daily small
 
 
 "
64,3,2PC,61.5,62.5,0.8678208187771412,0.879798425994319,Daily small, , , ,"Daily small
 
 
 "
65,4,2PC,61.5,62.5,0.879798425994319,0.893273234113644,Daily small, , , ,"Daily small
 
 
 "
66,5,2PC,61.5,62.5,0.893273234113644,0.9052508413308218,Daily small, , , ,"Daily small
 
 
 "
67,6,2PC,61.5,62.5,0.9052508413308218,0.9172284485479996,Daily small, , , ,"Daily small
 
 
 "
68,7,2PC,61.5,62.5,0.9172284485479996,0.9322004575694718,Daily small, , , ,"Daily small
 
 
 "
69,8,2PC,61.5,62.5,0.9322004575694718,0.947172466590944,Daily small, , , ,"Daily small
 
 
 "
70,9,2PC,61.5,62.5,0.947172466590944,0.9741220828295942,Daily small,SFP, ,MB SNS,"Daily small
SFP
 
MB SNS"
71,10,2PC,61.5,62.5,0.9741220828295942,1.092400954099225, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
72,11,2PC,61.5,62.5,1.092400954099225,1.7212253330010592, ,SFP, ,MB SNS," 
SFP
 
MB SNS"
73,0,67,62.5,66.2,0.22402443085383467,0.7555307511160994, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
74,1,67,62.5,66.2,0.7555307511160994,0.8543460106578162,Daily large,LFP, ,MB LNS,"Daily large
LFP
 
MB LNS"
75,2,67,62.5,66.2,0.8543460106578162,0.8678208187771412,Daily large, , , ,"Daily large
 
 
 "
76,3,67,62.5,66.2,0.8678208187771412,0.879798425994319,Daily large, , , ,"Daily large
 
 
 "
77,4,67,62.5,66.2,0.879798425994319,0.893273234113644,Daily large, , , ,"Daily large
 
 
 "
78,5,67,62.5,66.2,0.893273234113644,0.9052508413308218,Daily large, , , ,"Daily large
 
 
 "
79,6,67,62.5,66.2,0.9052508413308218,0.9172284485479996,Daily large, , , ,"Daily large
 
 
 "
80,7,67,62.5,66.2,0.9172284485479996,0.9322004575694718,Daily large, , , ,"Daily large
 
 
 "
81,8,67,62.5,66.2,0.9322004575694718,0.947172466590944, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
82,9,67,62.5,66.2,0.947172466590944,0.9741220828295942, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
83,10,67,62.5,66.2,0.9741220828295942,1.092400954099225, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
84,11,67,62.5,66.2,1.092400954099225,1.7212253330010592, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
85,0,67(66.4),66.2,66.4,0.22402443085383467,0.7555307511160994, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
86,1,67(66.4),66.2,66.4,0.7555307511160994,0.8543460106578162,Daily large,LFP, ,MB LNS,"Daily large
LFP
 
MB LNS"
87,2,67(66.4),66.2,66.4,0.8543460106578162,0.8678208187771412,Daily large, , , ,"Daily large
 
 
 "
88,3,67(66.4),66.2,66.4,0.8678208187771412,0.879798425994319,Daily large, , , ,"Daily large
 
 
 "
89,4,67(66.4),66.2,66.4,0.879798425994319,0.893273234113644,Daily large, , , ,"Daily large
 
 
 "
90,5,67(66.4),66.2,66.4,0.893273234113644,0.9052508413308218,Daily large, , , ,"Daily large
 
 
 "
91,6,67(66.4),66.2,66.4,0.9052508413308218,0.9172284485479996,Daily large, , , ,"Daily large
 
 
 "
92,7,67(66.4),66.2,66.4,0.9172284485479996,0.9322004575694718,Daily large, , , ,"Daily large
 
 
 "
93,8,67(66.4),66.2,66.4,0.9322004575694718,0.947172466590944, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
94,9,67(66.4),66.2,66.4,0.947172466590944,0.9741220828295942, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
95,10,67(66.4),66.2,66.4,0.9741220828295942,1.092400954099225, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
96,11,67(66.4),66.2,66.4,1.092400954099225,1.7212253330010592, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
97,0,67(66.6),66.4,66.6,0.22402443085383467,0.7555307511160994, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
98,1,67(66.6),66.4,66.6,0.7555307511160994,0.8543460106578162,Xlarge,LFP, ,MB LNS,"Xlarge
LFP
 
MB LNS"
99,2,67(66.6),66.4,66.6,0.8543460106578162,0.8678208187771412,Xlarge, , , ,"Xlarge
 
 
 "
100,3,67(66.6),66.4,66.6,0.8678208187771412,0.879798425994319,Xlarge, , , ,"Xlarge
 
 
 "
101,4,67(66.6),66.4,66.6,0.879798425994319,0.893273234113644,Xlarge, , , ,"Xlarge
 
 
 "
102,5,67(66.6),66.4,66.6,0.893273234113644,0.9052508413308218,Xlarge, , , ,"Xlarge
 
 
 "
103,6,67(66.6),66.4,66.6,0.9052508413308218,0.9172284485479996,Xlarge, , , ,"Xlarge
 
 
 "
104,7,67(66.6),66.4,66.6,0.9172284485479996,0.9322004575694718,Xlarge, , , ,"Xlarge
 
 
 "
105,8,67(66.6),66.4,66.6,0.9322004575694718,0.947172466590944,Xlarge,LFP, ,MB LNS,"Xlarge
LFP
 
MB LNS"
106,9,67(66.6),66.4,66.6,0.947172466590944,0.9741220828295942, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
107,10,67(66.6),66.4,66.6,0.9741220828295942,1.092400954099225, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
108,11,67(66.6),66.4,66.6,1.092400954099225,1.7212253330010592, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
109,0,67(66.8),66.6,66.8,0.22402443085383467,0.7555307511160994, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
110,1,67(66.8),66.6,66.8,0.7555307511160994,0.8543460106578162,Xlarge,LFP, ,MB LNS,"Xlarge
LFP
 
MB LNS"
111,2,67(66.8),66.6,66.8,0.8543460106578162,0.8678208187771412,Xlarge, , , ,"Xlarge
 
 
 "
112,3,67(66.8),66.6,66.8,0.8678208187771412,0.879798425994319,Xlarge, , , ,"Xlarge
 
 
 "
113,4,67(66.8),66.6,66.8,0.879798425994319,0.893273234113644,Xlarge, , , ,"Xlarge
 
 
 "
114,5,67(66.8),66.6,66.8,0.893273234113644,0.9052508413308218,Xlarge, , , ,"Xlarge
 
 
 "
115,6,67(66.8),66.6,66.8,0.9052508413308218,0.9172284485479996,Xlarge, , , ,"Xlarge
 
 
 "
116,7,67(66.8),66.6,66.8,0.9172284485479996,0.9322004575694718,Xlarge, , , ,"Xlarge
 
 
 "
117,8,67(66.8),66.6,66.8,0.9322004575694718,0.947172466590944,Xlarge,LFP, ,MB LNS,"Xlarge
LFP
 
MB LNS"
118,9,67(66.8),66.6,66.8,0.947172466590944,0.9741220828295942, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
119,10,67(66.8),66.6,66.8,0.9741220828295942,1.092400954099225, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
120,11,67(66.8),66.6,66.8,1.092400954099225,1.7212253330010592, ,LFP, ,MB LNS," 
LFP
 
MB LNS"
121,0,72,66.8,71.8,0.22402443085383467,0.7555307511160994, ,LFP, ,MB XLNS," 
LFP
 
MB XLNS"
122,1,72,66.8,71.8,0.7555307511160994,0.8543460106578162,Xlarge,LFP, ,MB XLNS,"Xlarge
LFP
 
MB XLNS"
123,2,72,66.8,71.8,0.8543460106578162,0.8678208187771412,Xlarge, , , ,"Xlarge
 
 
 "
124,3,72,66.8,71.8,0.8678208187771412,0.879798425994319,Xlarge, , , ,"Xlarge
 
 
 "
125,4,72,66.8,71.8,0.879798425994319,0.893273234113644,Xlarge, , , ,"Xlarge
 
 
 "
126,5,72,66.8,71.8,0.893273234113644,0.9052508413308218,Xlarge, , , ,"Xlarge
 
 
 "
127,6,72,66.8,71.8,0.9052508413308218,0.9172284485479996,Xlarge, , , ,"Xlarge
 
 
 "
128,7,72,66.8,71.8,0.9172284485479996,0.9322004575694718,Xlarge,LFP, ,MB XLNS,"Xlarge
LFP
 
MB XLNS"
129,8,72,66.8,71.8,0.9322004575694718,0.947172466590944,Xlarge,LFP, ,MB XLNS,"Xlarge
LFP
 
MB XLNS"
130,9,72,66.8,71.8,0.947172466590944,0.9741220828295942, ,LFP, ,MB XLNS," 
LFP
 
MB XLNS"
131,10,72,66.8,71.8,0.9741220828295942,1.092400954099225, ,LFP, ,MB XLNS," 
LFP
 
MB XLNS"
132,11,72,66.8,71.8,1.092400954099225,1.7212253330010592, ,LFP, ,MB XLNS," 
LFP
 
MB XLNS"
133,0,OS,71.8,100,0.22402443085383467,0.7555307511160994, , , , ," 
 
 
 "
134,1,OS,71.8,100,0.7555307511160994,0.8543460106578162, , , , ," 
 
 
 "
135,2,OS,71.8,100,0.8543460106578162,0.8678208187771412, , , , ," 
 
 
 "
136,3,OS,71.8,100,0.8678208187771412,0.879798425994319, , , , ," 
 
 
 "
137,4,OS,71.8,100,0.879798425994319,0.893273234113644, , , , ," 
 
 
 "
138,5,OS,71.8,100,0.893273234113644,0.9052508413308218, , , , ," 
 
 
 "
139,6,OS,71.8,100,0.9052508413308218,0.9172284485479996, , , , ," 
 
 
 "
140,7,OS,71.8,100,0.9172284485479996,0.9322004575694718, , , , ," 
 
 
 "
141,8,OS,71.8,100,0.9322004575694718,0.947172466590944, , , , ," 
 
 
 "
142,9,OS,71.8,100,0.947172466590944,0.9741220828295942, , , , ," 
 
 
 "
143,10,OS,71.8,100,0.9741220828295942,1.092400954099225, , , , ," 
 
 
 "
144,11,OS,71.8,100,1.092400954099225,1.7212253330010592, , , , ," 
 
 
 "
